timestamp,n_estimators,training_time_sec,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,pred_time_ms,cv_train_r2_mean,cv_train_r2_std,cv_test_r2_mean,cv_test_r2_std,cv_train_rmse_mean,cv_test_rmse_mean,cv_train_mae_mean,cv_test_mae_mean
2026-02-21T18:44:25.404015,50,0.09231972694396973,0.9997723433070874,0.9995977269100582,255277.07270420465,368674.8190936072,98424.69192149708,178414.10488245913,0.1714900016784667,0.9995679792465088,0.000159246320042,0.998270381157172,0.0019636533051051,351467.07232986856,696714.5986236485,134200.29869784924,245446.30726842736
2026-02-21T18:44:29.230244,100,0.13433170318603516,0.9997895278496912,0.9996073018790814,245453.32454933703,364260.7661297204,95542.29423398736,178945.1476793246,0.2696923971176147,0.9996103585325272,0.0001239906022455,0.998428070566568,0.0017259934639521,333727.97906466713,663039.1945315894,131387.21337219665,241217.16375591216
2026-02-21T18:44:35.313418,200,0.24579858779907227,0.9998246053053468,0.999703787594469,224067.9939913623,316362.2143105131,89606.63803714942,160681.08754817606,0.4666311025619507,0.9996200073726926,0.0001238489834172,0.9983599102874136,0.001834324972852,329325.0474093759,678123.429634589,128098.51528604196,237805.2294948609
2026-02-21T18:44:46.668260,500,0.5897324085235596,0.9998175459229856,0.9996834467899348,228532.71855407328,327044.12060989806,90876.47792392182,165533.9178402463,0.9432858467102052,0.9996249120200116,0.0001136112875443,0.9983748248994864,0.001717954141689,326877.150042698,676914.0056256613,125398.402079762,237432.95331709337
2026-02-21T18:45:11.793468,1000,4.453wwo95040512085,0.999821554569016,0.9996900723103136,226008.26221523932,323603.4734631782,89289.37561373612,162196.82220030238,1.797846794128418,0.9996159441640824,0.0001234796340946,0.9983250453706878,0.0018008484040061,330660.1252488131,687554.7355875444,124606.28756199084,236522.93337131647
2026-03-02T22:02:24.451698,50,0.09107708930969238,0.9393223660871467,0.8045270765453278,4171921.821900121,8461923.2288142,1874913.6534674272,4376543.117368743,0.1678459644317627,0.9155519045515341,0.007561099842561271,0.6518511044459958,0.1474107271342783,4913612.984667495,10170793.157477535,2496722.0098072547,5399601.873327289
2026-03-02T22:02:28.206701,100,0.14481854438781738,0.9378247324457265,0.8045180080150696,4223093.279873724,8462119.51256413,1885800.780194648,4370957.285596348,0.2684081792831421,0.9160422809700917,0.009343300537189627,0.652346366983832,0.139234861727814,4899064.980165142,10172464.444297766,2443481.095318059,5409981.555052917
2026-03-02T22:02:34.431860,200,0.26679348945617676,0.9342378645347719,0.7933717512736278,4343199.678989382,8700027.475583935,1929596.8769787168,4520829.297785548,0.47748665809631347,0.9150322290052639,0.009056726002175886,0.6614687793495033,0.13772382995462368,4928319.87827617,10049493.534816742,2419208.2316411827,5290930.380363271
2026-03-02T22:02:47.260224,500,0.6025173664093018,0.9326180081773521,0.7868242456285346,4396365.237162118,8836792.98243915,1908547.8846066582,4487368.300733989,1.0113242387771606,0.9157751346376081,0.00977126494269824,0.6686371601031433,0.13948709685041544,4905658.038368368,9948600.00941612,2382621.381942811,5228076.759223003
2026-03-02T22:03:12.540444,1000,1.3137717247009277,0.9330199519476857,0.7863626452209734,4383233.1324058445,8846355.189661756,1891690.8509188246,4472017.9823787315,2.062921953201294,0.9163061844686793,0.010294424916981649,0.6707281269689402,0.14116042605722348,4889362.422446306,9930303.93964024,2360535.2493372755,5196887.429276003
